level,model,roc_auc,roc_auc_std,pr_auc,pr_auc_std,sec
L1,константа (нижняя граница),0.5,0.0,0.15408467501490755,0.0004770423375074495,4.217587947845459
L1,логрег L2,0.9424191826522101,0.019812528148519352,0.7894215585455555,0.05986283116761273,0.6219189167022705
L1,логрег L1,0.9596321934945788,0.01549339479854682,0.8386094814580035,0.05228967215311596,0.6123547554016113
L1,логрег elastic,0.9568036697247706,0.016829092020000005,0.8282860555945005,0.05285472550142703,1.3668115139007568
L1,случайный лес,0.9670009174311925,0.01278508725408486,0.8707657949682658,0.045165922933965354,5.209573030471802
L1,ExtraTrees,0.96428081734779,0.014719726846562945,0.8598888225844202,0.04622061324887456,4.645491600036621
L1,HistGB,0.9610787322768976,0.016991109387991653,0.8653061847355942,0.048260689849376204,1.9790513515472412
L1,GradientBoosting,0.9579909924937448,0.022474306876478715,0.8628683633553426,0.05641389088642481,2.6767139434814453
L1,SVM RBF,0.9518969140950791,0.016079834348522892,0.7912312687261854,0.05546224844836108,0.5350067615509033
L1,kNN (sanity),0.9335386155129274,0.03182952872004231,0.7713274866015389,0.07625408638694155,0.6318178176879883
L1,GaussianNB,0.9453918265221017,0.0188084577532669,0.7176945435048064,0.07962676965821643,0.5395195484161377
L1,LightGBM,0.9540115095913261,0.021782809870068545,0.8543665999137184,0.05012700758916211,1.037703275680542
L1,XGBoost,0.9580402001668057,0.018659946920181282,0.8577562363405761,0.05011237437127326,1.7588775157928467
L1,CatBoost,0.9626100083402835,0.018583058246077033,0.8675635737659212,0.050461968718756585,4.051278114318848
L2,константа (нижняя граница),0.5,0.0,0.15408467501490755,0.0004770423375074495,0.42528438568115234
L2,логрег L2,0.7892447039199333,0.04841929766473716,0.43014831894766403,0.0718488599841726,0.5208089351654053
L2,логрег L1,0.8054902418682235,0.04166744554628705,0.4656281958087579,0.07844546691699289,0.47607922554016113
L2,логрег elastic,0.80094728940784,0.043854371744292374,0.4573555878287636,0.07578238498332436,0.9643173217773438
L2,случайный лес,0.8168883236030026,0.035919254305847234,0.4828840832067322,0.0573896164199276,5.346689939498901
L2,ExtraTrees,0.8210345287739783,0.0319410771195891,0.49358676395468637,0.06444301875766595,4.959660053253174
L2,HistGB,0.7871120934111759,0.0374358956702881,0.44815261829573283,0.08071635075638738,2.1541690826416016
L2,GradientBoosting,0.7943202668890743,0.03518073379774949,0.46061828187837167,0.08471719451648577,2.412715196609497
L2,SVM RBF,0.8160447039199333,0.035952101839252314,0.4790074550136779,0.06096249205643658,0.5278904438018799
L2,kNN (sanity),0.7967113427856546,0.05195161412497641,0.49346292740491665,0.06970306815246963,0.4744548797607422
L2,GaussianNB,0.7861030859049208,0.04616648329105074,0.4471633012408388,0.06560271616146407,0.47421717643737793
L2,LightGBM,0.7809170975813179,0.041243151054851344,0.4523383283910664,0.07673958305812836,0.928030252456665
L2,XGBoost,0.7781039199332777,0.039538943403070875,0.4420230322119245,0.07273574605576894,1.036919116973877
L2,CatBoost,0.7865197664720601,0.03815755332848745,0.4595986707418328,0.07641956196937276,3.2660040855407715
