конфигурация,roc,roc_sd,pr,pr_sd,sec
13. ансамбль ET+LR тюн.,0.8423853211009176,0.02824841794373013,0.5255197864978846,0.07327448122330514,7.473172664642334
12. ансамбль тюн. без SVM/HGB,0.8391776480400334,0.028685574025339253,0.5297958847603043,0.07118244844727445,12.576234579086304
"7. чищеные FE, ExtraTrees тюн.",0.8360930775646374,0.030639537194084663,0.5203719599885607,0.07060154223638623,7.1381096839904785
"11. ансамбль тюн., чищеные FE",0.8360226855713094,0.02896887615338264,0.5221810656968255,0.06678429426390883,15.260152101516724
"6. все FE, ExtraTrees тюн.",0.8339714762301917,0.032132060092952885,0.5048293057238619,0.07064050838953646,7.297352313995361
"8. без FE, ExtraTrees тюн.",0.8306452043369474,0.03165853403730098,0.4875549619661954,0.06910008710503139,6.9429612159729
"2. без FE, RF",0.8299659716430358,0.03272104905820984,0.5014127556520492,0.07609668649592828,5.2055299282073975
"10. ансамбль, чищеные FE",0.8290391993327775,0.030561543384640153,0.5075197077299624,0.06775983490925067,12.774652242660522
0. baseline стартера (get_dummies + RF400),0.82735988323603,0.033325120401714675,0.49722043888024275,0.07418150140003596,8.29332184791565
"4. чищеные FE, ExtraTrees",0.8243630525437865,0.03242343924400957,0.5004988856818735,0.06677994411380618,4.74680495262146
"5. чищеные FE, RF",0.8239051709758133,0.035893026390300745,0.5056875619586195,0.06620341345484333,5.258779287338257
"1. без FE, ExtraTrees",0.8227833194328606,0.03003174226453665,0.476133173097245,0.06111549944101973,4.606839179992676
"9. ансамбль, все FE",0.8221467889908256,0.03348049747368376,0.48543462212214067,0.06361831561754193,13.523068189620972
"3. все FE, ExtraTrees",0.8210345287739783,0.0319410771195891,0.49358676395468637,0.06444301875766595,5.028348445892334
