конфиг,roc,roc_sd,pr,pr_sd
ET+LR+SVM,0.8473931609674729,0.026938657425276725,0.5319715123164502,0.06520831087753629
ET+RF+LR+SVM,0.8448248540450375,0.02870955416080751,0.5301439846250492,0.06930512219383504
ET+LR,0.8423853211009176,0.02824841794373013,0.5255197864978846,0.07327448122330514
ET+RF+LR,0.839996663886572,0.02946729119671744,0.5207898321091055,0.07161447084603649
"ET+RF+LR (веса 2,1,1)",0.8397589658048373,0.02942769810400029,0.5226226244643611,0.0750115832472931
